taxon,year
phalaena crataegi,1758
murex craticulatus,1758
crax,1758
anas crecca,1758
turbo crenatus,1758
buccinum crenulatum,1758
carabus crepitans,1758
psophia crepitans,1758
phalaena crepuscularis,1758
labrus cretensis,1758
sphinx creusa,1758
rallus crex,1758
cypraea cribraria,1758
phalaena cribraria,1758
vespa cribraria,1758
mus cricetus,1758
turdus crinitus,1758
anomia crispa,1758
mya crispata,1758
ichneumon crispatorius,1758
nautilus crispus,1758
phasianus crispus,1758
nautilus crista,1758
mytilus cristagalli,1758
alauda cristata,1758
corallina cristata,1758
hystrix cristata,1758
loxia cristata,1758
meleagris cristata,1758
gracula cristatella,1758
blennius cristatus,1758
cancer cristatus,1758
charadrius cristatus,1758
colymbus cristatus,1758
corvus cristatus,1758
gryllus cristatus,1758
lanius cristatus,1758
parus cristatus,1758
pavo cristatus,1758
phasianus cristatus,1758
psittacus cristatus,1758
sorex cristatus,1758
trochilus cristatus,1758
tipula crocata,1758
acarus croceus,1758
lacerta crocodilus,1758
crotalus,1758
crotophaga,1758
cassida cruciata,1758
medusa cruciata,1758
patella cruciata,1758
elater cruciatus,1758
trochus cruciatus,1758
cancer cruentatus,1758
millepora crustacea,1758
cicada crux,1758
carabus cruxmajor,1758
carabus cruxminor,1758
ostracion cubicus,1758
columba cucullata,1758
phalaena cucullatella,1758
mergus cucullatus,1758
struthio cucullatus,1758
trigla cuculus,1758
cuculus,1758
aranea cucurbitina,1758
culex,1758
ephemera culiciformis,1758
sphinx culiciformis,1758
tenebrio culinaris,1758
phalaena culmella,1758
ichneumon culpatorius,1758
solen cultellus,1758
cyprinus cultratus,1758
donax cuneata,1758
lepus cuniculus,1758
cancer cuphaeus,1758
papilio cupido,1758
tetrao cupido,1758
musca cupraria,1758
buprestis cuprea,1758
sertularia cupressina,1758
carabus cupreus,1758
curculio cupreus,1758
